card_a_id,card_b_id,card_a,card_b,card_a_class,card_b_class,card_a_rank,card_b_rank,a_rounds,b_rounds,a_final_integrity,b_final_integrity,winner_id,winner,winner_class,winner_rank,loser_id,margin,round_margin_total,rounds_completed,knockout,tiebreaker,upset
DROP0205,DROP0139,HOL! - HOL! | Drop 3,Kai Wachi - ILL | Drop 1,Impact Cannon,Vacuum Striker,1.0,2.0,2,3,26.925653428910366,23.45951970367434,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0139,3.466133725236027,7.774855885851094,5,False,,False
DROP0205,DROP0009,HOL! - HOL! | Drop 3,"Subtronics, Wooli - Lock In | Drop 1",Impact Cannon,Impact Cannon,1.0,3.0,4,1,28.158589544913532,21.478412896678023,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0009,6.680176648235509,8.285790571563622,5,False,,False
DROP0205,DROP0323,HOL! - HOL! | Drop 3,"LEVEL UP, Subtronics, Wooli - Dingus | Drop 1",Impact Cannon,Impact Cannon,1.0,4.0,5,0,31.74788006366292,21.97991059097468,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0323,9.76796947268824,9.76796947268823,5,False,,False
DROP0205,DROP0411,HOL! - HOL! | Drop 3,YDG - Apocalypse | Drop 1,Impact Cannon,Technical Weapon,1.0,5.0,5,0,33.425558139634845,23.351343109901585,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0411,10.07421502973326,10.074215029733272,5,False,,False
DROP0205,DROP0195,HOL! - HOL! | Drop 3,"Excision, Kai Wachi, Sullivan King - Bonebreaker | Drop 3",Impact Cannon,Impact Cannon,1.0,6.0,4,1,28.41169239343006,22.846640998289164,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0195,5.565051395140895,7.7946734220298595,5,False,,False
DROP0205,DROP0158,HOL! - HOL! | Drop 3,Levity - Can_t Get Enough | Drop 4,Impact Cannon,Vacuum Striker,1.0,7.0,5,0,31.442829660660458,18.507054215299483,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0158,12.935775445360974,12.935775445360962,5,False,,False
DROP0205,DROP0377,HOL! - HOL! | Drop 3,Crankdat - STFU | Drop 3,Impact Cannon,Technical Weapon,1.0,8.0,4,1,34.51215995681408,24.35267698878907,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0377,10.15948296802501,11.549505192901899,5,False,,False
DROP0205,DROP0243,HOL! - HOL! | Drop 3,HOL! - HOL! | Drop 7,Impact Cannon,Impact Cannon,1.0,9.0,5,0,33.53830464353659,19.311856994632876,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0243,14.226447648903715,14.226447648903704,5,False,,False
DROP0205,DROP0182,HOL! - HOL! | Drop 3,"Kai Wachi, RUNN - Better Off Alone | Drop 1",Impact Cannon,Impact Cannon,1.0,10.0,5,0,37.86042708470609,23.288874293438717,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0182,14.571552791267372,14.57155279126737,5,False,,False
DROP0205,DROP0228,HOL! - HOL! | Drop 3,"Tape B, VKTM - Nocturnal | Drop 2",Impact Cannon,Impact Cannon,1.0,11.0,5,0,34.21858144516317,18.85272146189303,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0228,15.365859983270138,15.365859983270145,5,False,,False
DROP0205,DROP0375,HOL! - HOL! | Drop 3,Crankdat - STFU | Drop 1,Impact Cannon,Technical Weapon,1.0,12.0,3,2,32.38029119737668,24.48996025181188,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0375,7.8903309455647985,9.600135408487484,5,False,,False
DROP0205,DROP0013,HOL! - HOL! | Drop 3,Subtronics - Scream Saver | Drop 1,Impact Cannon,Filth Monster,1.0,13.0,2,3,29.576287294255888,23.199458660838197,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0013,6.376828633417691,9.950360413995133,5,False,,False
DROP0205,DROP0204,HOL! - HOL! | Drop 3,HOL! - HOL! | Drop 2,Impact Cannon,Impact Cannon,1.0,14.0,5,0,35.768685841012726,22.89750345322906,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0204,12.871182387783666,12.871182387783668,5,False,,False
DROP0205,DROP0212,HOL! - HOL! | Drop 3,"Noisia, Skrillex, josh pan, Dylan Brady - Supersonic (My Existence) | Drop 1",Impact Cannon,Vacuum Striker,1.0,15.0,5,0,36.11001123158536,23.719877378124117,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0212,12.390133853461244,12.390133853461231,5,False,,False
DROP0205,DROP0092,HOL! - HOL! | Drop 3,HOL! - COUNTRY RIDDIM | Drop 2,Impact Cannon,Impact Cannon,1.0,16.0,4,1,30.604740626632456,23.581882854266368,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0092,7.022857772366088,8.337097427034522,5,False,,False
DROP0205,DROP0002,HOL! - HOL! | Drop 3,"Jem Cooke, Subtronics - By A Thread (feat. Jem Cooke) | Drop 1",Impact Cannon,Impact Cannon,1.0,17.0,5,0,34.004733320320284,26.484898350155127,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0002,7.519834970165157,7.519834970165153,5,False,,False
DROP0205,DROP0349,HOL! - HOL! | Drop 3,LEVEL UP - Dark Side | Drop 1,Impact Cannon,Filth Monster,1.0,18.0,3,2,32.75656498425964,23.251532506829726,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0349,9.505032477429914,12.699713204949997,5,False,,False
DROP0205,DROP0189,HOL! - HOL! | Drop 3,Crankdat - Movement | Drop 3,Impact Cannon,Impact Cannon,1.0,19.0,5,0,36.55721090144295,23.54101796192979,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0189,13.01619293951316,13.016192939513145,5,False,,False
DROP0205,DROP0123,HOL! - HOL! | Drop 3,Svdden Death - Creator | Drop 3,Impact Cannon,Filth Monster,1.0,20.0,3,2,31.800790483341988,22.772897064022416,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0123,9.027893419319572,11.548378871320208,5,False,,False
DROP0205,DROP0227,HOL! - HOL! | Drop 3,"Tape B, VKTM - Nocturnal | Drop 1",Impact Cannon,Impact Cannon,1.0,21.0,5,0,37.00183541314227,22.356194012053237,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0227,14.64564140108903,14.645641401089014,5,False,,False
DROP0205,DROP0090,HOL! - HOL! | Drop 3,HOL! - COUNTRY RIDDIM | Drop 1,Impact Cannon,Impact Cannon,1.0,22.0,5,0,34.6913276910752,22.8945148011004,DROP0205,HOL! - HOL! | Drop 3,Impact Cannon,1.0,DROP0090,11.796812889974802,11.796812889974806,5,False,,False
